2 840 Fri Mar 03 21:32:00 2006

sim/aircraft/acf_struct	int[10]	y	Pointers	Pointers to the individual aircraft structures.
sim/aircraft/overflow/acf_flaps_with_vecEQ	int	y	???	bring in the flaps with thrust vector
sim/aircraft/overflow/acf_blow_all_controls	int	y	???	blow all the flight controls for low-speed handling
sim/aircraft/overflow/acf_warn2EQ	int	y	???	bitchin betty 2... for fighters
sim/aircraft/overflow/acf_num_thrustpoints	int	y	???	number props can be different than number of engines - * This can crash Xplane, use at your own risk
sim/aircraft/overflow/acf_props_linked	int	y	???	link the props for the VTOLs and helos
sim/aircraft/overflow/acf_Xwpn_att	float[24]	y	???	???
sim/aircraft/overflow/acf_Ywpn_att	float[24]	y	???	???
sim/aircraft/overflow/acf_Zwpn_att	float[24]	y	???	???
sim/aircraft/overflow/acf_cus_rnd_use	int[50]	y	???	???
sim/aircraft/overflow/acf_cus_rnd_lo_val	float[50]	y	???	???
sim/aircraft/overflow/acf_cus_rnd_hi_val	float[50]	y	???	???
sim/aircraft/overflow/acf_cus_rnd_lo_ang	float[50]	y	???	???
sim/aircraft/overflow/acf_cus_rnd_hi_ang	float[50]	y	???	???
sim/aircraft/overflow/acf_has_nav	int[6]	y	???	what nav systems the plane has for setting up the otto
sim/aircraft/overflow/acf_has_radar	int	y	???	???
sim/aircraft/overflow/acf_has_beta	int	y	???	???
sim/aircraft/overflow/acf_cus_rnd_mirror	int[50]	y	???	mirror the angles on even-number engines on the twins
sim/aircraft/overflow/acf_cus_rnd_label	int[50]	y	???	draw labels on the instruments... many do not label the scales, only draw digital numbers.
sim/aircraft/overflow/acf_cus_dig_use	int[50]	y	???	???
sim/aircraft/overflow/acf_cus_dig_offset	float[50]	y	???	???
sim/aircraft/overflow/acf_cus_dig_scale	float[50]	y	???	???
sim/aircraft/overflow/acf_cus_dig_dig	int[50]	y	???	???
sim/aircraft/overflow/acf_cus_dig_dec	int[50]	y	???	???
sim/aircraft/overflow/acf_inc_ail	int[730]	y	???	???
sim/aircraft/overflow/acf_inc_ail2	int[730]	y	???	???
sim/aircraft/overflow/acf_inc_vec	int[730]	y	???	???
sim/aircraft/overflow/acf_tow_hook_Y	float	y	???	???
sim/aircraft/overflow/acf_tow_hook_Z	float	y	???	???
sim/aircraft/overflow/acf_win_hook_Y	float	y	???	???
sim/aircraft/overflow/acf_win_hook_Z	float	y	???	???
sim/aircraft/overflow/acf_nosewheel_k	float	y	???	tail wheel spring constant (per degree offset from centered)
sim/aircraft/overflow/acf_vectarmY	float	y	???	prop needs offset in z and y from the pivot point... z for V-22, y for motorgliders
sim/aircraft/overflow/acf_hide_prop_at_90_vect	int	y	???	for those motorgliders or prop/jet combos or what have you that hide their props when not in use
sim/airfoils/afl_clB	float[292]	y	???	???
sim/airfoils/afl_Lpow	float	y	???	???
sim/airfoils/afl_Lstall	float	y	???	???
sim/airfoils/afl_Ldrop1	float	y	???	???
sim/airfoils/afl_Lpowstl	float	y	???	???
sim/airfoils/afl_Ldrop2	float	y	???	???
sim/airfoils/afl_Dmin	float	y	???	???
sim/airfoils/afl_DminCL	float	y	???	???
sim/airfoils/afl_Dal10	float	y	???	???
sim/airfoils/afl_Dpow	float	y	???	???
sim/airfoils/afl_Bloc	float	y	???	???
sim/airfoils/afl_Bwidth	float	y	???	???
sim/airfoils/afl_Bdepth	float	y	???	???
sim/airfoils/afl_Bpower	float	y	???	???
sim/airfoils/afl_cmal2	float	y	???	???
sim/airfoils/afl_cmal3	float	y	???	???
sim/airfoils/afl_cm1	float	y	???	???
sim/airfoils/afl_cm2	float	y	???	???
sim/airfoils/afl_cm3	float	y	???	???
sim/airfoils/afl_cm4	float	y	???	???
sim/airfoils/afl_almin	float	y	???	These are for backward compatibilty, should use afl_almin_array from v7 onwards
sim/airfoils/afl_almax	float	y	???	These are for backward compatibilty, should use afl_almax_array from v7 onwards
sim/airfoils/afl_almin_array	float[292]	y	???	???
sim/airfoils/afl_almax_array	float[292]	y	???	???
sim/airfoils/afl_re_num	float[292]	y	???	???
sim/airfoils/afl_t_rat	float[146]	y	???	???
sim/airfoils/afl_mach_div	float[146]	y	???	???
sim/airfoils/afl_clM	float[292]	y	???	???
sim/airfoils/afl_cl	float[210532]	y	???	???
sim/airfoils/afl_cd	float[210532]	y	???	???
sim/airfoils/afl_cm	float[210532]	y	???	???
sim/cockpit/autopilot/autopilot_mode	int	y	enum	The autopilot master mode (off=0, flight director=1, on=2)
sim/cockpit/autopilot/airspeed_mode	int	n	enum	Airspeed mode for the autopilot. DEPRECATED
sim/cockpit/autopilot/heading_mode	int	n	enum	Lateral navigation mode (GPS, heading, L-Nav approach). DEPRECATED
sim/cockpit/autopilot/altitude_mode	int	n	enum	Vertical navigation (alt hold, VVI hold, V-Nav approach). DEPRECATED
sim/cockpit/autopilot/backcourse_on	int	y	boolean	Back course selection
sim/cockpit/autopilot/approach_selector	int	y	enum	Nav1 or Nav2 approach selection
sim/cockpit/autopilot/altitude	float	y	ftmsl	Altitude dialed into the AP
sim/cockpit/autopilot/current_altitude	float	y	ftmsl	Currently held altitude (remembered until you hit flchg)
sim/cockpit/autopilot/vertical_velocity	float	y	fpm	Vertical speed to hold
sim/cockpit/autopilot/airspeed	float	y	knots_mach	Airspeed to hold, this changes from knots to a mach number
sim/cockpit/autopilot/heading	float	y	degt	The heading to fly (true, legacy)
sim/cockpit/autopilot/heading_mag	float	y	degm	The heading to fly (magnetic, preferred) pilot
sim/cockpit/autopilot/heading_mag2	float	y	degm	The heading to fly (magnetic, preferred) copilot
sim/cockpit/autopilot/airspeed_is_mach	int	n	boolean	Is our airspeed a mach number
sim/cockpit/autopilot/flight_director_pitch	float	y	degrees	The recommended pitch from the Flight Director.  Use override_flightdir
sim/cockpit/autopilot/flight_director_roll	float	y	degrees	The recommended roll from the Flight Director.  Use override_flightdir
sim/cockpit/autopilot/autopilot_state	int	y	flags	Various autopilot engage modes, etc.
sim/cockpit/autopilot/heading_roll_mode	int	y	enum	Bank limit - 0 = auto, 1-6 = 5-30 degrees of bank
sim/cockpit/autopilot/mode_hnav	int	y	???	???
sim/cockpit/autopilot/mode_gls	int	y	???	???
sim/cockpit/autopilot/alt_hold_ft_fms	float	y	???	???
sim/cockpit/autopilot/syn_hold_deg	float	y	???	???
sim/cockpit/electrical/battery_on	int	y	bool	Is the main battery on
sim/cockpit/electrical/battery_array_on	int[8]	y	bool	Is the battery selected on
sim/cockpit/electrical/battery_EQ	int	n	bool	Does this cockpit have a battery switch
sim/cockpit/electrical/avionics_on	int	y	bool	Is there power to the avionics
sim/cockpit/electrical/avionics_EQ	int	y	bool	Does this cockpit have an avionics switch
sim/cockpit/electrical/generator_on	int[8]	y	bool	Is the generator on (to charge batteries) - one for each engine
sim/cockpit/electrical/generator_EQ	int	y	bool	Does this cockpit have generator switches?
sim/cockpit/electrical/generator_apu_on	int	y	bool	Is the APU Generator on
sim/cockpit/electrical/generator_apu_amps	float	y	amps	APU Generator amps
sim/cockpit/electrical/HUD_on	int	y	bool	Is the HUD on
sim/cockpit/electrical/HUD_brightness	float	y	ratio	HUD brightness level (0-1)
sim/cockpit/electrical/beacon_lights_on	int	y	bool	Beacon Light
sim/cockpit/electrical/landing_lights_on	int	y	bool	Landing Light
sim/cockpit/electrical/nav_lights_on	int	y	bool	Navigation Light
sim/cockpit/electrical/strobe_lights_on	int	y	bool	Strobe Light
sim/cockpit/electrical/taxi_light_on	int	y	bool	Taxi Lights
sim/cockpit/electrical/cockpit_lights_on	int	n	bool	Are cockpit lights on.  (NOTE - previous docs were wrong, this is always read-only)
sim/cockpit/electrical/cockpit_lights	float	y	ratio	Cockpit light level
sim/cockpit/electrical/instrument_brightness	float	y	ratio	Instrument LED lighting level
sim/cockpit/electrical/sunglasses_on	int	y	bool	Sunglasses on?
sim/cockpit/electrical/night_vision_on	int	y	bool	Night vision goggles on?
sim/cockpit/electrical/ah_bar	float	y	???	Cockpit light reostat - this appears to be legacy and no longer used.
sim/cockpit/engine/inverter_on	int[8]	y	bool	Is the inverter providing power (one per engine)
sim/cockpit/engine/inverter_eq	int	y	bool	Does this cockpit have inverter switches?
sim/cockpit/engine/fuel_pump_on	int[8]	y	bool	Is the fuel pump on (one per engine)
sim/cockpit/engine/fuel_pump_EQ	int	y	bool	Does this cockpit have fuel pumps?
sim/cockpit/engine/fadec_on	int[8]	y	bool	Is the fadec on (one per engine)
sim/cockpit/engine/idle_speed	int[8]	y	bool	Idle speed (per engine)
sim/cockpit/engine/fuel_tank_selector	int	y	???	Which fuel tank is open for flight
sim/cockpit/engine/fuel_tank_transfer	int	y	???	Which fuel tank is open for transfers (destination)
sim/cockpit/engine/fuel_tank_transfer_from	int	y	???	Which fuel tank is open for transfers (source)
sim/cockpit/engine/ignition_on	int[8]	y	enum	ignition key position
sim/cockpit/engine/igniters_on	int[8]	y	boolean	starter ignition
sim/cockpit/engine/starter_duration	float[8]	y	seconds	time since ignition was pressed or something
sim/cockpit/engine/clutch_engage	int	y	???	Clutch engaged
sim/cockpit/engine/APU_switch	int	y	enum	APU starter switch 0 = off, 1 = on, 2 = start
sim/cockpit/engine/APU_running	int	y	boolean	APU running - 1 = on, 0 = off.
sim/cockpit/engine/APU_N1	float	y	???	???
sim/cockpit/gps/course	float	n	???	The currently programmed GPS course (true degrees)
sim/cockpit/gps/destination_type	int	y	???	The current type of navaid we're flying to
sim/cockpit/gps/destination_index	int	y	???	The index of the navaid we're flying to
sim/cockpit/gps/airport_index	int	y	???	The index of the last set airport
sim/cockpit/gps/vor_index	int	y	???	The index of the last set VOR
sim/cockpit/gps/ndb_index	int	y	???	The index of the last set NDB
sim/cockpit/gps/fix_index	int	y	???	The index of the last set fix
sim/cockpit/gyros/the_vac_ind_deg	float	y	degrees	The indicated pitch on the panel for vaccum instruments
sim/cockpit/gyros/psi_vac_ind_degm	float	y	degrees	The indicated heading on the panel for vacuum instruments
sim/cockpit/gyros/phi_vac_ind_deg	float	y	degrees	The indicated roll on the panel for vacuum instruments
sim/cockpit/gyros/the_ele_ind_deg	float	y	degrees	The indicated pitch on the panel for vaccum instruments
sim/cockpit/gyros/psi_ele_ind_degm	float	y	degrees	The indicated heading on the panel for vacuum instruments
sim/cockpit/gyros/phi_ele_ind_deg	float	y	degrees	The indicated roll on the panel for vacuum instruments
sim/cockpit/gyros/dg_drift_vac_deg	float	y	degrees A delta between the plane's heading and the DG for vacuum powered DGs	???
sim/cockpit/gyros/dg_drift_ele_deg	float	y	degrees A delta between the plane's heading and the DG for electric powered DGs	???
sim/cockpit/gyros/gyr_force	float[4]	y	???	???
sim/cockpit/gyros/gyr_spin	float[4]	y	???	???
sim/cockpit/misc/has_radar	float	n	???	Does this aircraft have weather radar?
sim/cockpit/misc/outer_marker_lit	int	y	???	Is the outer marker beacon lit right now
sim/cockpit/misc/middle_marker_lit	int	y	???	Is the middle marker beacon lit right now
sim/cockpit/misc/inner_marker_lit	int	y	???	Is the inner marker beacon lit right now
sim/cockpit/misc/barometer_setting	float	y	???	The pilots altimeter setting
sim/cockpit/misc/barometer_setting2	float	y	???	The copilots altimeter setting
sim/cockpit/misc/radio_altimeter_minimum	float	y	Feet	The decision height for the radio altimeter
sim/cockpit/misc/show_path	float	y	???	Show our path as we fly?
sim/cockpit/misc/vacuum	float	y	???	Vacuum Ratio
sim/cockpit/misc/vacuum2	float	y	???	Vacuum 2 Ratio
sim/cockpit/misc/ah_adjust	float	y	pixels	Adjustment to the artificial horizon bars
sim/cockpit/pressure/bleed_air_on	int	y	bool	Bleeding air is on (legacy)
sim/cockpit/pressure/bleed_air_mode	int	y	enum	0=off,1=L,2=B,3=R,4=APU
sim/cockpit/pressure/cabin_altitude_set_m_msl	float	y	???	The desired cabin altitude (BEFORE 730 this was incorrectly int type)
sim/cockpit/pressure/cabin_vvi_set_m_msec	float	y	???	The desired cabin altitude rate change (BEFORE 730 this was incorrectly int type)
sim/cockpit/pressure/cabin_altitude_actual_m_msl	float	n	???	The real cabin altitude (BEFORE 730 this was incorrectly int type)
sim/cockpit/pressure/cabin_vvi_actual_m_msec	float	n	???	The real cabin altitude rate change (BEFORE 730 this was incorrectly int type)
sim/cockpit/pressure/pressure_test_timeout	float	y	???	Timeout for some kind of pressure test/
sim/cockpit/pressure/max_allowable_altitude	float	y	???	Max altitude the plane can keep pressure at?
sim/cockpit/pressure/dump_all	int	y	bool	Pressure dump switch
sim/cockpit/pressure/dump_to_alt	int	y	bool	Pressure dump to altitude switch
sim/cockpit/radios/nav1_freq_hz	int	y	Hz	The current frequency of the nav1 radio.
sim/cockpit/radios/nav2_freq_hz	int	y	Hz	The current frequency of the nav2 radio.
sim/cockpit/radios/com1_freq_hz	int	y	Hz	The current frequency of the copm1 radio.
sim/cockpit/radios/com2_freq_hz	int	y	Hz	The current frequency of the com2 radio.
sim/cockpit/radios/adf1_freq_hz	int	y	Hz	The current frequency of the first automatic direction finder.
sim/cockpit/radios/adf2_freq_hz	int	y	Hz	The current frequency of the second automatic direction finder.
sim/cockpit/radios/dme_freq_hz	int	y	Hz	The current frequency of the standalone DME receiver.
sim/cockpit/radios/nav1_stdby_freq_hz	int	y	Hz	The standby frequency for the radio mentioned above for flip/flop radios.
sim/cockpit/radios/nav2_stdby_freq_hz	int	y	Hz	The standby frequency for the radio mentioned above for flip/flop radios.
sim/cockpit/radios/com1_stdby_freq_hz	int	y	Hz	The standby frequency for the radio mentioned above for flip/flop radios.
sim/cockpit/radios/com2_stdby_freq_hz	int	y	Hz	The standby frequency for the radio mentioned above for flip/flop radios.
sim/cockpit/radios/adf1_stdby_freq_hz	int	y	Hz	The standby frequency for the radio mentioned above for flip/flop radios.
sim/cockpit/radios/adf2_stdby_freq_hz	int	y	Hz	The standby frequency for the radio mentioned above for flip/flop radios.
sim/cockpit/radios/dme_stdby_freq_hz	int	y	Hz	The standby frequency for the radio mentioned above for flip/flop radios.<p>NOTE: X-Plane does not currently feature a flip-flop standalone DME instrument, but the data exists.
sim/cockpit/radios/nav1_obs_degt	float	y	degt	The 'obs' heading programmed into VOR and HSI gauges that follow nav radio 1. (true: legacy)
sim/cockpit/radios/nav2_obs_degt	float	y	degt	The 'obs' heading programmed into VOR and HSI gauges that follow nav radio 2. (true: legacy)
sim/cockpit/radios/adf1_obs_card	float	y	degt	ADF 1 (true degs, old) (Never worked, do not use)
sim/cockpit/radios/adf2_obs_card	float	y	degt	ADF 2 (true degs, old) (Never worked, do not use)
sim/cockpit/radios/nav1_obs_degm	float	y	degm	The 'obs' heading programmed into VOR and HSI gauges that follow nav radio 1. (mag: modern) pilot
sim/cockpit/radios/nav1_obs_degm2	float	y	degm	The 'obs' heading programmed into VOR and HSI gauges that follow nav radio 1. (mag: modern) copilot
sim/cockpit/radios/nav2_obs_degm	float	y	degm	The 'obs' heading programmed into VOR and HSI gauges that follow nav radio 2. (mag: modern) pilot
sim/cockpit/radios/nav2_obs_degm2	float	y	degm	The 'obs' heading programmed into VOR and HSI gauges that follow nav radio 2. (mag: modern) copilot
sim/cockpit/radios/adf1_obs_card_mag	float	y	degm	ADF 1 (mag degs, new)  (Never worked, do not use)
sim/cockpit/radios/adf2_obs_card_mag	float	y	degm	ADF 2 (mag degs, new)  (Never worked, do not use)
sim/cockpit/radios/nav1_dir_degt	float	y	deg	The relative bearing to the beacon indicated by nav1.  Set override with override_navneedles
sim/cockpit/radios/nav2_dir_degt	float	y	deg	The relative bearing to the beacon indicated by nav2.  Set override with override_navneedles
sim/cockpit/radios/adf1_dir_degt	float	y	deg	The relative bearing to the beacon indicated by adf1.  Use override_adf to stg.
sim/cockpit/radios/adf2_dir_degt	float	y	deg	The relative bearing to the beacon indicated by adf2.  Use override_adf to stg.
sim/cockpit/radios/gps_dir_degt	float	n	deg	The relative bearing to the GPS destination.
sim/cockpit/radios/dme_dir_degt	float	n	deg	The relative bearing to whatever becaon the standalone DME is programmed for.
sim/cockpit/radios/nav1_hdef_deg	float	n	degt	The deflection from the aircraft to the tuned in course in degrees.
sim/cockpit/radios/nav2_hdef_deg	float	n	degt	The deflection from the aircraft to the tuned in course in degrees.
sim/cockpit/radios/gps_hdef_deg	float	n	degt	The deflection from the aircraft to the tuned in course in degrees.
sim/cockpit/radios/nav1_hdef_dot	float	y	prcnt	The deflection from the aircraft to the tuned in course in 'dots' on a VOR compass - pilot.  override_navneedles
sim/cockpit/radios/nav1_hdef_dot2	float	y	prcnt	The deflection from the aircraft to the tuned in course in 'dots' on a VOR compass - copilot.  override_navneedles
sim/cockpit/radios/nav2_hdef_dot	float	y	prcnt	The deflection from the aircraft to the tuned in course in 'dots' on a VOR compass - pilot.  override_navneedles
sim/cockpit/radios/nav2_hdef_dot2	float	y	prcnt	The deflection from the aircraft to the tuned in course in 'dots' on a VOR compass - copilot.  override_navneedles
sim/cockpit/radios/gps_hdef_dot	float	y	prcnt	The deflection from the aircraft to the tuned in course in 'dots' on a VOR compass - pilot.  override_navneedles
sim/cockpit/radios/gps_hdef_dot2	float	y	prcnt	The deflection from the aircraft to the tuned in course in 'dots' on a VOR compass - copilot.  override_navneedles
sim/cockpit/radios/nav1_vdef_deg	float	n	degt	The deflection from the aircraft to the tuned in glide slope in degrees.
sim/cockpit/radios/nav2_vdef_deg	float	n	degt	The deflection from the aircraft to the tuned in glide slope in degrees.
sim/cockpit/radios/gps_vdef_deg	float	y	degt	The deflection from the aircraft to the tuned in glide slope in degrees.
sim/cockpit/radios/nav1_vdef_dot	float	y	prcnt	The deflection from the aircraft to the tuned in glide slope in dots on an ILS gauge - pilot.  override_navneedles
sim/cockpit/radios/nav1_vdef_dot2	float	y	prcnt	The deflection from the aircraft to the tuned in glide slope in dots on an ILS gauge - copilot.  override_navneedles
sim/cockpit/radios/nav2_vdef_dot	float	y	prcnt	The deflection from the aircraft to the tuned in glide slope in dots on an ILS gauge - pilot.  override_navneedles
sim/cockpit/radios/nav2_vdef_dot2	float	y	prcnt	The deflection from the aircraft to the tuned in glide slope in dots on an ILS gauge - copilot.  override_navneedles
sim/cockpit/radios/gps_vdef_dot	float	y	prcnt	The deflection from the aircraft to the tuned in glide slope in dots on an ILS gauge - pilot. override_navneedles
sim/cockpit/radios/gps_vdef_dot2	float	y	prcnt	The deflection from the aircraft to the tuned in glide slope in dots on an ILS gauge - copilot. override_navneedles
sim/cockpit/radios/nav1_fromto	int	y	enum	Whether we are heading to or from (or over) our nav1 beacon - pilot.
sim/cockpit/radios/nav1_fromto2	int	y	enum	Whether we are heading to or from (or over) our nav1 beacon - copilot.
sim/cockpit/radios/nav2_fromto	int	y	enum	Whether we are heading to or from (or over) our nav2 beacon - pilot.
sim/cockpit/radios/nav2_fromto2	int	y	enum	Whether we are heading to or from (or over) our nav2 beacon - copilot.
sim/cockpit/radios/gps_fromto	int	y	enum	Whether we are heading to or from (or over) our nav2 beacon - pilot.
sim/cockpit/radios/gps_fromto2	int	y	enum	Whether we are heading to or from (or over) our nav2 beacon - copilot.
sim/cockpit/radios/nav1_CDI	int	n	bool	Are we receiving an expected glide slope for nav1
sim/cockpit/radios/nav2_CDI	int	n	bool	Are we receiving an expected glide slope for nav2
sim/cockpit/radios/nav1_dme_dist_m	float	y	meters	Our distance in meters from the beacon tuned in on nav1.  override_navneedles
sim/cockpit/radios/nav2_dme_dist_m	float	y	meters	Our distance in meters from the beacon tuned in on nav2.  override_navneedles
sim/cockpit/radios/adf1_dme_dist_m	float	y	meters	Our distance in meters from the beacon tuned in on adf1.  override_dme
sim/cockpit/radios/adf2_dme_dist_m	float	y	meters	Our distance in meters from the beacon tuned in on adf2.  override_dme
sim/cockpit/radios/gps_dme_dist_m	float	y	meters	Our distance in meters from the beacon tuned in on the GPS.  override_gps
sim/cockpit/radios/standalone_dme_dist_m	float	y	meters	Our distance in meters from the beacon tuned in on the standalone DME receiver. override_dme
sim/cockpit/radios/nav1_dme_speed_kts	float	y	knots	Our closing speed to the beacon tuned in on nav1. override_dme
sim/cockpit/radios/nav2_dme_speed_kts	float	y	knots	Our closing speed to the beacon tuned in on nav2. override_dme
sim/cockpit/radios/adf1_dme_speed_kts	float	y	knots	Our closing speed to the beacon tuned in on adf1. override_dme
sim/cockpit/radios/adf2_dme_speed_kts	float	y	knots	Our closing speed to the beacon tuned in on adf2. override_dme
sim/cockpit/radios/gps_dme_speed_kts	float	y	knots	Our closing speed to the beacon tuned in on the GPS. override_dme
sim/cockpit/radios/standalone_dme_speed_kts	float	y	knots	Our closing speed to the beacon tuned in on the standalone DME receiver. override_dme
sim/cockpit/radios/nav1_dme_time_secs	float	y	secs	Our time to reach the beacon tuned in on nav1. override_dme
sim/cockpit/radios/nav2_dme_time_secs	float	y	secs	Our time to reach the beacon tuned in on nav2. override_dme
sim/cockpit/radios/adf1_dme_time_secs	float	y	secs	Our time to reach the beacon tuned in on adf1. override_dme
sim/cockpit/radios/adf2_dme_time_secs	float	y	secs	Our time to reach the beacon tuned in on adf2. override_dme
sim/cockpit/radios/gps_dme_time_secs	float	y	secs	Our time to reach the beacon tuned in on the GPS. override_dme
sim/cockpit/radios/standalone_dme_time_secs	float	y	secs	Our time to reach the beacon tuned in on the standalone DME. override_dme
sim/cockpit/radios/nav1_course_degt	float	n	degt	The localizer course for Nav1 or tuned in radial for a VOR. (True, legacy) - pilot
sim/cockpit/radios/nav1_course_degt2	float	n	degt	The localizer course for Nav1 or tuned in radial for a VOR. (True, legacy) - copilot
sim/cockpit/radios/nav2_course_degt	float	n	degt	The localizer course for Nav2 or tuned in radial for a VOR. (True, legacy) - pilot
sim/cockpit/radios/nav2_course_degt2	float	n	degt	The localizer course for Nav2 or tuned in radial for a VOR. (True, legacy) - copilot
sim/cockpit/radios/gps_course_degt	float	n	degt	The localizer course for GPS or tuned in radial for a VOR (True, legacy) - pilot
sim/cockpit/radios/gps_course_degt2	float	n	degt	The localizer course for GPS or tuned in radial for a VOR (True, legacy) - copilot
sim/cockpit/radios/nav1_course_degm	float	n	degm	The localizer course for Nav1 or tuned in radial for a VOR. (Magnetic, new) - pilot
sim/cockpit/radios/nav1_course_degm2	float	n	degm	The localizer course for Nav1 or tuned in radial for a VOR. (Magnetic, new) - copilot
sim/cockpit/radios/nav2_course_degm	float	n	degm	The localizer course for Nav2 or tuned in radial for a VOR. (Magnetic, new) - pilot
sim/cockpit/radios/nav2_course_degm2	float	n	degm	The localizer course for Nav2 or tuned in radial for a VOR. (Magnetic, new) - copilot
sim/cockpit/radios/gps_course_degtm	float	n	degm	The localizer course for GPS or tuned in radial for a VOR (Magnetic, new) - pilot
sim/cockpit/radios/gps_course_degtm2	float	n	degm	The localizer course for GPS or tuned in radial for a VOR (Magnetic, new) - copilot
sim/cockpit/radios/nav1_slope_degt	float	n	deg	The glide slope slope for nav1.
sim/cockpit/radios/nav2_slope_degt	float	n	deg	The glide slope slope for nav2.
sim/cockpit/radios/transponder_code	int	y	code	Our transponder code.
sim/cockpit/radios/transponder_id	int	n	bool	Whether we are squawking ident right now.
sim/cockpit/radios/transponder_light	int	n	???	Whether the transponder is lit
sim/cockpit/radios/transponder_brightness	float	y	ratio	Transponder light brightness ratio from 0 to 1
sim/cockpit/radios/transponder_mode	int	y	enum	Transponder mode (off=0,stdby=1,on=2,test=3)
sim/cockpit/radios/nav1_cardinal_dir	float	y	degm	Magnetic heading of the compass card for VOR 1 - pilot.
sim/cockpit/radios/nav1_cardinal_dir2	float	y	degm	Magnetic heading of the compass card for VOR 1 - copilot.
sim/cockpit/radios/nav2_cardinal_dir	float	y	degm	Magnetic heading of the compass card for VOR 2 - pilot.
sim/cockpit/radios/nav2_cardinal_dir2	float	y	degm	Magnetic heading of the compass card for VOR 2 - copilot.
sim/cockpit/radios/adf1_cardinal_dir	float	y	degm	Magnetic heading of the compass card for ADF 1 - pilot.
sim/cockpit/radios/adf1_cardinal_dir2	float	y	degm	Magnetic heading of the compass card for ADF 1 - copilot.
sim/cockpit/radios/adf2_cardinal_dir	float	y	degm	Magnetic heading of the compass card for ADF 2 - pilot.
sim/cockpit/radios/adf2_cardinal_dir2	float	y	degm	Magnetic heading of the compass card for ADF 2 - copilot.
sim/cockpit/radios/vac_start_time	float	y	???	used to be used to spool gyro
sim/cockpit/radios/vac_stop_time	float	y	???	but now RPM is tracked
sim/cockpit/radios/nav1_has_dme	int	y	bool	Does this nav aid have DME?  Use override_dme to set
sim/cockpit/radios/nav2_has_dme	int	y	bool	Does this nav aid have DME?  Use override_dme to set
sim/cockpit/radios/adf1_has_dme	int	y	bool	Does this adf aid have DME?  Use override_dme to set
sim/cockpit/radios/adf2_has_dme	int	y	bool	Does this adf aid have DME?  Use override_dme to set
sim/cockpit/radios/dme5_has_dme	int	y	bool	Does this adf aid have DME?  Use override_dme to set
sim/cockpit/radios/obs_mag	float	y	???	OBS
sim/cockpit/radios/gear_audio_working	int	y	???	Suppresses Gear Audio
sim/cockpit/radios/marker_audio_working	int	y	???	Suppresses Marker Audio
sim/cockpit/radios/nav_type	int[6]	y	????	Type of NAVAID that is tuned in
sim/cockpit/radios/ap_src	int	y	???	???
sim/cockpit/switches/DME_radio_selector	int	y	???	Which nav radio is the slaved DME connected to
sim/cockpit/switches/DME_distance_or_time	int	y	???	Is the standalone DME showing distance or groundspeed/time
sim/cockpit/switches/HSI_selector	int	y	???	Is the HSI showing nav1, nav2, or GPS
sim/cockpit/switches/HSI_selector2	int	y	???	Is the HSI showing nav1, nav2, or GPS
sim/cockpit/switches/RMI_selector	int	y	???	Is the RMI showing nav1, nav2, or GPS
sim/cockpit/switches/RMI_selector2	int	y	???	Is the RMI showing nav1, nav2, or GPS
sim/cockpit/switches/RMI_l_vor_adf_selector	int	y	???	Is the left side of a VOR/ADF RMI showing the VOR or ADF
sim/cockpit/switches/RMI_l_vor_adf_selector2	int	y	???	Is the left side of a VOR/ADF RMI showing the VOR or ADF
sim/cockpit/switches/RMI_r_vor_adf_selector	int	y	???	Is the right side of a VOR/ADF RMI showing the VOR or ADF
sim/cockpit/switches/RMI_r_vor_adf_selector2	int	y	???	Is the right side of a VOR/ADF RMI showing the VOR or ADF
sim/cockpit/switches/EFIS_dme_1_selector	int	y	???	Is the first EFIS DME showing nothing, dist to VOR, or dist to ADF
sim/cockpit/switches/EFIS_dme_2_selector	int	y	???	Is the second EFIS DME showing nothing, dist to VOR, or dist to ADF
sim/cockpit/switches/marker_panel_out	int	y	???	Settings for the marker beacon audio panel
sim/cockpit/switches/audio_panel_out	int	y	???	Settings for the com radio audio panel
sim/cockpit/switches/pitot_heat_on	int	y	bool	Is the pitot heat on
sim/cockpit/switches/pitot_heat_on2	int	y	bool	Is the backup pitot heat on
sim/cockpit/switches/anti_ice_on	int	y	bool	Is the anti-icing system on.  This turns on EVERY anti-ice system.
sim/cockpit/switches/anti_ice_auto_ignite	int	y	bool	Not sure what this anti-ice system is
sim/cockpit/switches/anti_ice_inert_sep	int	y	bool	Or this one either
sim/cockpit/switches/anti_ice_inlet_heat	int	y	bool	Turns on inlet heating.
sim/cockpit/switches/anti_ice_prop_heat	int	y	bool	Turns on prop heat
sim/cockpit/switches/anti_ice_surf_heat	int	y	bool	Turns on surface heat on the wings
sim/cockpit/switches/anti_ice_surf_boot	int	y	bool	Turns on the wing-surface anti-ice boot (knocks ice off I think).
sim/cockpit/switches/anti_ice_window_heat	int	y	bool	Turns on anti-icing fr the windshield
sim/cockpit/switches/anti_ice_AOA_heat	int	y	bool	Turns on anti-icing for alpha vane heater
sim/cockpit/switches/ice_detect	int	y	bool	Turns on ice detect
sim/cockpit/switches/auto_brake_settings	int	y	???	Settings for the autobrake control
sim/cockpit/switches/auto_feather_mode	int	y	???	Settings for auto-feathering mode
sim/cockpit/switches/auto_fea_EQ	int	y	???	Does this plane have an auto-feather switch?
